# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0
0.008,0.002,0.682,197.037
0.018,0.018,2.63,192.571
0.028,0.054,4.533,188.102
# Event LIFTOFF occurred at t=0.038 seconds
0.038,0.109,6.392,184.094
0.047,0.172,7.998,180.144
0.057,0.261,9.806,181.409
0.067,0.368,11.626,182.675
0.077,0.494,13.46,183.941
0.087,0.638,15.305,185.207
0.097,0.8,17.164,186.473
0.107,0.981,19.035,187.739
0.117,1.181,20.918,189.005
0.127,1.399,22.815,190.272
0.137,1.637,24.724,191.538
0.147,1.894,26.646,192.805
0.157,2.17,28.58,194.072
0.167,2.466,30.527,195.339
0.177,2.781,32.487,196.606
0.187,3.115,34.459,197.873
0.197,3.47,36.444,199.14
0.207,3.844,38.442,200.407
0.217,4.239,40.452,201.675
0.227,4.653,42.475,202.942
0.237,5.088,44.511,204.21
0.247,5.544,46.56,205.478
0.257,6.019,48.621,206.747
0.267,6.516,50.695,208.015
0.277,7.033,52.781,209.284
0.287,7.572,54.88,210.552
0.297,8.131,56.992,211.821
0.307,8.712,59.117,213.091
0.317,9.313,61.254,214.36
0.327,9.937,63.404,215.63
0.337,10.582,65.567,216.9
0.347,11.248,67.742,218.17
# Event LAUNCHROD occurred at t=0.357 seconds
0.357,11.936,69.93,219.391
0.372,13.01,73.235,221.307
0.394,14.714,78.247,224.177
0.428,17.484,85.885,228.471
0.478,22.066,97.467,234.796
0.489,23.182,100.128,236.218
0.506,24.913,104.132,236.402
0.531,27.636,110.143,236.662
0.57,32.007,119.173,237.01
0.62,38.262,131.033,237.377
0.67,45.11,142.908,237.622
0.72,52.553,154.793,237.718
0.77,60.59,166.677,237.635
0.82,69.22,178.553,237.341
0.87,78.445,190.407,236.81
0.92,88.261,202.229,236.028
0.97,98.667,214.006,235
1.017,109.089,225.133,233.818
1.067,120.637,236.79,232.409
1.117,132.767,248.372,230.9
1.167,145.473,259.881,229.453
1.217,158.754,271.322,228.262
1.261,170.938,281.37,227.589
1.3,182.162,290.301,227.392
1.338,193.113,298.759,227.612
1.375,204.288,307.165,228.239
1.413,216.306,315.988,229.304
1.456,230.239,325.975,230.91
1.506,246.827,337.574,233.088
1.556,263.998,349.285,235.328
1.606,281.758,361.105,237.417
1.656,300.11,373.021,239.145
1.699,316.336,383.305,240.177
1.733,329.328,391.37,240.626
1.763,341.377,398.712,240.731
1.793,353.379,405.891,240.54
1.824,366.147,413.381,240.024
1.86,380.966,421.882,239.057
1.908,401.386,433.257,237.212
1.958,423.345,445.06,234.869
1.995,440.272,453.871,233.045
2.042,461.836,464.75,230.53
2.073,476.218,471.811,229.384
2.1,489.225,478.084,228.805
2.127,502.169,484.237,228.664
2.156,516.104,490.776,228.944
2.19,532.919,498.57,229.714
2.24,558.135,510.093,231.206
2.29,583.929,521.687,232.486
2.335,607.958,532.301,232.937
2.364,623.206,538.93,232.692
2.391,638.045,545.292,232.023
2.418,652.491,551.509,239.98
2.448,669.198,558.862,248.586
2.484,689.897,568.178,258.524
2.508,703.173,570.708,-40.971
2.543,723.084,569.137,-48.936
2.589,749.661,566.607,-59.072
# Event BURNOUT occurred at t=2.6 seconds
# Event EJECTION_CHARGE occurred at t=2.6 seconds
2.6,755.611,565.975,-61.22
2.616,764.524,565.01,-61.177
2.639,777.864,563.566,-60.9
2.668,793.827,561.847,-60.269
2.702,812.945,559.81,-59.212
2.752,840.863,556.892,-57.513
2.802,868.636,554.055,-56.065
2.847,893.629,551.54,-55.246
2.879,911.39,549.763,-55.018
2.911,928.833,548.014,-55.075
2.948,949.047,545.973,-55.433
2.998,976.276,543.183,-56.202
3.048,1003.364,540.353,-56.987
3.098,1030.311,537.491,-57.39
3.136,1050.789,535.301,-57.236
3.173,1070.553,533.193,-56.691
3.218,1094.121,530.703,-55.681
3.268,1120.587,527.951,-54.415
3.318,1146.917,525.259,-53.315
3.368,1173.113,522.613,-52.605
3.411,1195.654,520.345,-52.388
3.454,1218.36,518.052,-52.52
3.504,1244.197,515.415,-52.971
3.554,1269.901,512.753,-53.525
3.604,1295.472,510.065,-53.949
3.654,1320.907,507.365,-53.994
3.704,1345.787,504.719,-53.569
3.754,1370.957,502.059,-52.761
3.804,1395.994,499.445,-51.81
3.854,1420.902,496.877,-50.934
3.904,1445.682,494.348,-50.291
3.954,1470.337,491.842,-49.977
4.004,1494.867,489.344,-49.994
4.054,1519.271,486.839,-50.256
4.104,1543.55,484.317,-50.62
4.154,1567.703,481.777,-50.936
4.204,1591.728,479.227,-51.044
4.254,1615.625,476.678,-50.841
4.304,1639.396,474.148,-50.34
4.354,1663.041,471.647,-49.655
4.404,1686.561,469.183,-48.943
4.454,1709.96,466.752,-48.322
4.504,1733.237,464.347,-47.888
4.554,1756.395,461.959,-47.688
4.604,1779.433,459.575,-47.707
4.654,1802.352,457.186,-47.882
4.704,1825.151,454.786,-48.117
4.754,1847.83,452.374,-48.317
4.804,1870.389,449.956,-48.381
4.854,1892.826,447.54,-48.241
4.904,1915.143,445.136,-47.895
4.954,1937.34,442.753,-47.403
5.004,1959.418,440.396,-46.858
5.054,1981.38,438.066,-46.345
5.104,2003.225,435.76,-45.932
5.154,2024.956,433.471,-45.667
5.204,2046.573,431.191,-45.562
5.254,2068.075,428.912,-45.594
5.304,2089.464,426.63,-45.715
5.354,2110.738,424.34,-45.859
5.404,2131.898,422.044,-45.967
5.454,2152.942,419.745,-45.977
5.504,2173.872,417.449,-45.851
5.554,2194.688,415.162,-45.588
5.604,2215.389,412.892,-45.222
