0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0,0.68,8.09,139.74
0.01,2.03,9.53,144.16
0.02,0.84,10.96,143.18
0.02,0.84,10.96,143.18
0.03,-0.34,12.38,141.71
0.04,1.77,13.78,137.29
0.05,2.37,15.17,139.25
0.06,1.6,16.55,137.29
0.07,-2.7,17.93,138.27
0.08,1.86,19.29,134.35
0.09,3.63,20.64,137.78
0.1,0.76,21.98,130.43
0.11,2.96,23.31,133.37
0.12,1.6,24.62,129.45
0.13,1.77,25.92,129.45
0.14,2.03,27.21,128.96
0.15,2.7,28.49,127.49
0.16,2.53,29.77,126.51
0.17,3.13,31.04,126.51
0.18,3.29,32.3,127.49
0.19,4.22,33.56,125.53
0.2,4.14,34.81,124.05
0.21,3.46,36.04,122.58
0.22,4.98,37.27,122.09
0.23,5.15,38.49,122.09
0.24,4.82,39.7,120.13
0.25,5.07,40.91,119.15
0.26,5.07,42.11,121.11
0.27,6.25,43.31,119.15
0.28,6.17,44.51,120.13
0.29,6.93,45.71,119.64
0.3,7.6,46.9,120.13
0.31,8.37,48.09,118.66
0.32,8.45,49.27,117.68
0.33,8.96,50.45,116.7
0.34,10.56,51.62,116.21
0.34,10.56,51.62,116.21
0.35,10.14,52.78,116.7
0.36,10.14,53.94,116.21
0.37,10.56,55.1,115.72
0.38,11.41,56.26,115.23
0.39,12,57.41,114.74
0.4,12.17,58.55,114.25
0.41,13.78,59.69,113.76
0.42,12.17,60.83,113.76
0.43,14.2,61.97,113.27
0.44,14.88,63.1,113.27
0.45,15.13,64.23,113.27
0.46,16.74,65.36,113.27
0.47,17.41,66.48,111.8
0.48,17.5,67.6,111.31
0.49,17.84,68.71,110.82
0.5,18.77,69.82,110.82
0.51,20.04,70.91,108.85
0.52,21.05,72,109.83
0.53,22.24,73.08,106.89
0.54,23.25,74.15,106.4
0.55,23.68,75.21,105.42
0.56,24.52,76.26,104.93
0.57,25.54,77.3,102.48
0.58,26.89,78.32,102.48
0.59,27.66,79.34,100.52
0.6,28.08,80.34,99.05
0.61,28.76,81.33,99.05
0.62,29.01,82.31,97.09
