0,-1.84,9.53,58.35
0.01,1.93,10.1,57.37
0.02,-0.08,10.68,58.84
0.02,-0.08,10.68,58.84
0.03,0.92,11.26,55.41
0.04,1.43,11.84,59.33
0.05,5.28,12.43,58.35
0.06,-1.68,13.01,59.82
0.07,4.03,13.61,59.33
0.08,1.68,14.2,59.82
0.09,0.59,14.8,60.31
0.1,2.52,15.4,58.35
0.11,3.94,16,59.82
0.12,4.19,16.6,60.8
0.13,3.27,17.21,61.78
0.14,3.02,17.83,62.27
0.15,2.26,18.45,62.76
0.16,2.1,19.07,62.27
0.17,5.7,19.7,63.25
0.18,5.45,20.33,62.76
0.19,3.94,20.96,62.27
0.2,3.27,21.6,64.23
0.21,5.12,22.24,63.74
0.22,5.12,22.88,64.72
0.23,6.21,23.53,65.7
0.24,6.21,24.19,66.69
0.25,6.63,24.85,66.69
0.26,5.12,25.5,65.21
0.27,6.63,26.16,65.21
0.28,6.79,26.82,65.7
0.29,6.37,27.48,66.19
0.3,8.05,28.15,66.69
0.31,6.29,28.81,66.69
0.32,7.38,29.48,67.18
0.33,8.81,30.15,67.18
0.34,8.72,30.83,68.16
0.34,8.72,30.83,68.16
0.35,8.72,31.51,67.67
0.36,8.89,32.19,68.65
0.37,10.15,32.88,68.65
0.38,9.81,33.56,69.14
0.39,9.48,34.25,69.14
0.4,9.98,34.94,69.14
0.41,10.4,35.64,69.14
0.42,10.23,36.33,68.65
0.43,10.99,37.02,70.12
0.44,12.67,37.72,70.12
0.45,12.75,38.42,70.12
0.46,11.74,39.13,71.1
0.47,13.34,39.84,70.61
0.48,12.5,40.54,70.61
0.49,14.35,41.26,71.59
0.5,13,41.97,71.1
0.51,13.84,42.68,71.59
0.52,14.09,43.4,71.59
0.53,14.77,44.12,72.57
0.54,15.44,44.84,72.57
0.55,16.7,45.56,72.08
0.56,17.12,46.29,72.08
0.57,16.36,47.01,72.57
0.58,18.13,47.74,73.55
0.59,18.97,48.47,72.08
0.6,18.8,49.2,73.55
0.61,18.71,49.93,72.57
0.62,19.22,50.67,74.04
0.63,20.98,51.4,74.04
0.64,20.48,52.14,74.04
0.65,22.33,52.89,75.02
0.66,22.16,53.63,74.53
0.66,22.16,53.63,74.53
0.67,21.74,54.38,75.02
0.68,21.4,55.13,75.02
0.69,23.33,55.88,74.53
0.7,24.85,56.62,74.04
0.71,23.5,57.37,75.51
0.72,26.61,58.12,75.02
