# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0
0.008,0.002,0.682,196.988
0.018,0.018,2.629,192.521
0.028,0.054,4.532,188.051
# Event LIFTOFF occurred at t=0.038 seconds
0.038,0.109,6.39,184.094
0.047,0.172,7.996,180.143
0.057,0.261,9.804,181.409
0.067,0.368,11.625,182.674
0.077,0.494,13.458,183.94
0.087,0.638,15.303,185.206
0.097,0.8,17.162,186.472
0.107,0.981,19.033,187.738
0.117,1.181,20.917,189.004
0.127,1.399,22.813,190.271
0.137,1.637,24.722,191.538
0.147,1.894,26.644,192.806
0.157,2.17,28.578,194.074
0.167,2.465,30.525,195.342
0.177,2.78,32.485,196.61
0.187,3.115,34.457,197.879
0.197,3.469,36.442,199.148
0.207,3.844,38.44,200.417
0.217,4.238,40.451,201.687
0.227,4.653,42.474,202.956
0.237,5.088,44.51,204.226
0.247,5.543,46.559,205.496
0.257,6.019,48.62,206.767
0.267,6.516,50.694,208.038
0.277,7.033,52.781,209.31
0.287,7.571,54.88,210.582
0.297,8.131,56.992,211.855
0.307,8.711,59.117,213.128
0.317,9.313,61.255,214.401
0.327,9.936,63.405,215.675
0.337,10.581,65.568,216.949
0.347,11.248,67.744,218.223
# Event LAUNCHROD occurred at t=0.357 seconds
0.357,11.936,69.933,219.226
0.372,13.01,73.236,221.146
0.394,14.714,78.244,224.022
0.428,17.483,85.877,228.327
0.478,22.065,97.452,234.678
0.489,23.181,100.111,236.108
0.506,24.911,104.114,236.305
0.531,27.633,110.123,236.587
0.57,32.004,119.151,236.979
0.62,38.258,131.011,237.427
0.67,45.105,142.892,237.788
0.72,52.547,154.788,238.049
0.77,60.584,166.695,238.192
0.82,69.217,178.605,238.201
0.87,78.445,190.512,238.064
0.92,88.268,202.409,237.773
0.97,98.685,214.287,237.333
1.017,109.124,225.54,236.791
1.067,120.696,237.364,236.137
1.117,132.86,249.153,235.424
1.167,145.611,260.906,234.74
1.217,158.95,272.629,234.192
1.267,172.874,284.33,233.893
1.317,187.383,296.024,233.944
1.367,202.476,307.731,234.404
1.417,218.156,319.471,235.272
1.467,234.424,331.264,236.473
1.517,251.284,343.122,237.871
1.567,268.738,355.051,239.297
1.617,286.79,367.05,240.62
1.667,305.444,379.109,241.699
1.717,324.702,391.214,242.406
1.762,342.402,402.038,242.649
1.803,359.334,412.13,242.51
1.848,377.856,422.877,241.965
1.898,399.302,434.951,240.908
1.948,421.35,446.963,239.527
1.995,442.931,458.348,238.113
2.045,466.145,470.204,236.181
2.088,486.476,480.281,235.023
2.125,504.571,489.044,234.507
2.164,523.753,498.155,234.446
2.213,548.514,509.683,234.848
2.263,574.292,521.44,235.384
2.313,600.658,533.217,235.633
2.362,626.793,544.638,235.242
2.391,642.881,551.534,234.612
2.427,662.913,560.194,245.894
2.471,687.616,571.22,258.96
2.484,695.328,574.732,262.88
