# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0
0.008,0.002,0.677,195.663
0.018,0.018,2.611,191.232
0.028,0.054,4.502,186.798
# Event LIFTOFF occurred at t=0.038 seconds
0.038,0.108,6.347,183.07
0.047,0.171,7.945,179.145
0.057,0.259,9.743,180.402
0.067,0.366,11.553,181.659
0.077,0.491,13.376,182.917
0.087,0.634,15.211,184.174
0.097,0.795,17.059,185.431
0.107,0.975,18.92,186.688
0.117,1.173,20.793,187.946
0.127,1.391,22.679,189.203
0.137,1.627,24.577,190.46
0.147,1.882,26.488,191.717
0.157,2.157,28.411,192.975
0.167,2.45,30.347,194.232
0.177,2.764,32.296,195.489
0.187,3.096,34.257,196.746
0.197,3.449,36.231,198.004
0.207,3.821,38.217,199.261
0.217,4.213,40.216,200.519
0.227,4.625,42.228,201.776
0.237,5.058,44.252,203.034
0.247,5.511,46.288,204.292
0.257,5.984,48.338,205.549
0.267,6.477,50.399,206.807
0.277,6.992,52.474,208.065
0.287,7.527,54.561,209.323
0.297,8.083,56.66,210.582
0.307,8.66,58.772,211.84
0.317,9.258,60.897,213.098
0.327,9.878,63.034,214.357
0.337,10.519,65.184,215.615
0.347,11.182,67.346,216.874
# Event LAUNCHROD occurred at t=0.357 seconds
0.357,11.866,69.522,218.183
0.372,12.934,72.809,220.103
0.394,14.628,77.793,222.954
0.428,17.381,85.39,227.2
0.478,21.937,96.906,233.424
0.489,23.047,99.55,234.817
0.506,24.767,103.53,234.968
0.531,27.474,109.505,235.168
0.57,31.82,118.475,235.401
0.62,38.038,130.25,235.562
0.67,44.845,142.028,235.522
0.72,52.241,153.798,235.236
0.77,60.225,165.547,234.654
0.82,68.795,177.258,233.724
0.87,77.95,188.913,232.408
0.92,87.685,200.492,230.687
0.97,97.997,211.975,228.582
1.017,108.315,222.771,226.271
1.067,119.736,234.018,223.554
1.117,131.715,245.124,220.7
1.167,144.246,256.09,217.985
1.208,154.979,265.029,216.091
1.243,164.349,272.54,214.886
1.275,173.058,279.31,214.207
1.304,181.457,285.675,213.986
1.333,189.794,291.855,214.191
1.362,198.29,298.033,214.82
1.392,207.226,304.421,215.893
1.424,217.026,311.317,217.472
1.46,228.51,319.277,219.706
1.508,243.931,329.795,223.015
1.558,260.701,341.035,226.535
1.608,278.037,352.445,229.809
1.658,295.948,364.005,232.472
1.69,307.725,371.471,233.683
1.716,317.76,377.74,234.333
1.741,327.084,383.485,234.609
1.764,336.175,389.007,234.569
1.788,345.393,394.523,234.221
1.812,355.145,400.263,233.531
1.839,366.033,406.552,232.399
1.872,379.353,414.067,230.568
1.92,399.736,425.186,227.121
1.97,421.278,436.443,223.136
1.995,432.193,441.964,221.21
2.029,447.299,449.415,218.544
2.054,458.662,454.887,217.069
2.077,468.868,459.722,216.223
2.098,478.702,464.319,215.866
2.119,488.657,468.924,215.955
2.142,499.266,473.791,216.5
2.167,511.395,479.313,217.577
2.2,527.178,486.455,219.426
2.249,551.294,497.287,222.394
2.299,576.438,508.471,224.791
2.328,591.065,514.908,225.469
2.35,602.734,519.994,225.519
2.371,613.534,524.654,225.148
2.391,624.342,529.265,224.375
2.413,635.751,534.143,230.237
2.437,648.903,539.859,236.417
2.47,666.699,547.721,243.977
2.484,674.663,551.281,247.148
2.508,687.543,553.668,-41.784
2.543,706.858,552.061,-50.132
2.575,724.475,550.344,-57.248
# Event BURNOUT occurred at t=2.6 seconds
# Event EJECTION_CHARGE occurred at t=2.6 seconds
2.6,738.405,548.827,-62.366
2.622,750.209,547.485,-62.167
2.643,762.149,546.133,-61.619
2.667,775.231,544.666,-60.687
2.697,791.444,542.878,-59.224
2.742,815.667,540.281,-56.915
2.792,842.611,537.493,-54.738
2.827,861.494,535.585,-53.758
2.853,875.585,534.174,-53.412
2.878,888.822,532.85,-53.398
2.904,902.643,531.46,-53.682
2.935,918.829,529.813,-54.332
2.98,942.776,527.322,-55.662
3.03,969.072,524.501,-57.174
3.08,995.225,521.615,-58.118
3.111,1011.257,519.824,-58.15
3.14,1026.299,518.143,-57.751
3.171,1042.41,516.356,-56.923
3.211,1062.812,514.129,-55.503
3.261,1088.45,511.402,-53.628
3.311,1113.954,508.761,-52.084
3.355,1136.319,506.486,-51.294
3.389,1153.497,504.747,-51.129
3.423,1170.753,502.994,-51.338
3.464,1191.355,500.875,-51.976
3.514,1216.333,498.25,-53.03
3.564,1241.179,495.572,-54.04
3.614,1265.89,492.854,-54.582
3.655,1285.879,490.636,-54.456
3.694,1305.26,488.491,-53.835
3.742,1328.685,485.93,-52.627
3.792,1352.917,483.334,-51.229
3.842,1377.02,480.805,-50.006
3.892,1400.998,478.326,-49.215
3.939,1423.223,476.041,-48.99
3.985,1445.207,473.769,-49.232
4.035,1468.834,471.293,-49.855
4.085,1492.336,468.782,-50.6
4.135,1515.712,466.235,-51.226
4.185,1538.959,463.666,-51.465
4.235,1562.078,461.098,-51.172
4.285,1585.069,458.557,-50.406
4.335,1607.935,456.061,-49.388
4.385,1630.676,453.618,-48.373
4.435,1653.297,451.221,-47.546
4.485,1675.799,448.857,-47.058
4.535,1698.183,446.508,-46.966
4.585,1720.45,444.155,-47.221
4.635,1742.598,441.783,-47.688
4.685,1764.628,439.385,-48.196
4.735,1786.536,436.965,-48.586
4.785,1808.324,434.532,-48.696
4.835,1829.99,432.101,-48.45
4.885,1851.534,429.692,-47.887
4.935,1872.959,427.316,-47.138
4.985,1894.267,424.978,-46.367
5.035,1915.458,422.678,-45.698
5.085,1936.535,420.405,-45.239
5.135,1957.499,418.149,-45.047
5.185,1978.35,415.896,-45.112
5.235,1999.088,413.635,-45.367
5.285,2019.713,411.358,-45.708
5.335,2040.224,409.064,-46.03
5.385,2060.619,406.757,-46.226
5.435,2080.899,404.445,-46.211
5.485,2101.064,402.14,-45.958
5.535,2121.114,399.853,-45.504
5.585,2141.05,397.591,-44.938
5.635,2160.873,395.359,-44.358
5.685,2180.586,393.155,-43.845
5.735,2200.189,390.972,-43.468
5.785,2219.683,388.805,-43.27
5.835,2239.07,386.642,-43.251
5.885,2258.348,384.477,-43.378
5.935,2277.517,382.303,-43.589
5.985,2296.578,380.118,-43.814
6.035,2315.529,377.923,-43.989
6.085,2334.37,375.721,-44.05
6.135,2353.101,373.52,-43.958
6.185,2371.722,371.328,-43.713
6.235,2390.234,369.151,-43.347
6.285,2408.637,366.994,-42.916
6.335,2426.934,364.859,-42.481
6.385,2445.124,362.745,-42.092
6.435,2463.209,360.649,-41.794
6.485,2481.189,358.564,-41.613
6.535,2499.065,356.485,-41.555
6.585,2516.837,354.407,-41.602
6.635,2534.506,352.324,-41.719
6.685,2552.07,350.234,-41.864
6.735,2569.529,348.138,-41.993
6.785,2586.883,346.036,-42.068
6.835,2604.133,343.932,-42.055
6.885,2621.277,341.832,-41.94
6.935,2638.316,339.74,-41.727
6.985,2655.251,337.661,-41.44
7.035,2672.082,335.597,-41.114
7.085,2688.811,333.549,-40.787
7.135,2705.437,331.518,-40.488
7.185,2721.963,329.5,-40.246
7.235,2738.388,327.492,-40.08
7.285,2754.712,325.49,-39.996
7.335,2770.937,323.491,-39.986
7.385,2787.061,321.491,-40.034
7.435,2803.086,319.487,-40.115
7.485,2819.01,317.479,-40.201
7.535,2834.833,315.467,-40.268
7.585,2850.556,313.453,-40.293
7.635,2866.179,311.439,-40.258
7.685,2881.7,309.428,-40.157
7.735,2897.122,307.424,-39.993
7.785,2912.443,305.43,-39.78
7.835,2927.665,303.447,-39.539
7.885,2942.788,301.476,-39.292
7.935,2957.813,299.517,-39.057
7.985,2972.74,297.57,-38.854
8.035,2987.57,295.631,-38.695
8.085,3002.303,293.699,-38.588
8.135,3016.94,291.772,-38.534
8.185,3031.48,289.845,-38.525
8.235,3045.924,287.918,-38.55
8.285,3060.272,285.99,-38.595
8.335,3074.523,284.059,-38.642
8.385,3088.678,282.126,-38.677
8.435,3102.736,280.192,-38.686
8.485,3116.697,278.258,-38.659
8.535,3130.562,276.326,-38.591
8.585,3144.33,274.399,-38.481
8.635,3158.002,272.479,-38.337
8.685,3171.578,270.566,-38.167
8.735,3185.058,268.662,-37.984
8.785,3198.444,266.768,-37.801
8.835,3211.735,264.882,-37.628
8.885,3224.932,263.005,-37.476
8.935,3238.036,261.134,-37.352
8.985,3251.046,259.269,-37.262
9.035,3263.963,257.407,-37.205
9.085,3276.787,255.548,-37.178
9.135,3289.518,253.689,-37.176
9.185,3302.156,251.83,-37.19
9.235,3314.701,249.97,-37.211
9.285,3327.153,248.109,-37.231
9.335,3339.512,246.247,-37.241
9.385,3351.777,244.385,-37.233
9.435,3363.95,242.524,-37.203
9.485,3376.03,240.665,-37.147
9.535,3388.017,238.81,-37.066
9.585,3399.911,236.959,-36.963
9.635,3411.713,235.114,-36.842
9.685,3423.422,233.275,-36.71
9.735,3435.04,231.443,-36.574
9.785,3446.567,229.618,-36.441
9.835,3458.002,227.799,-36.316
9.885,3469.347,225.986,-36.206
9.935,3480.601,224.178,-36.113
9.985,3491.765,222.374,-36.041
10.035,3502.838,220.573,-35.989
10.085,3513.822,218.775,-35.957
10.135,3524.716,216.977,-35.941
10.185,3535.52,215.181,-35.937
10.235,3546.234,213.384,-35.94
10.285,3556.858,211.586,-35.946
10.335,3567.393,209.789,-35.948
10.385,3577.837,207.992,-35.944
10.435,3588.192,206.195,-35.93
10.485,3598.457,204.399,-35.901
10.535,3608.632,202.605,-35.858
10.585,3618.717,200.813,-35.8
10.635,3628.713,199.025,-35.727
10.685,3638.62,197.241,-35.643
10.735,3648.437,195.461,-35.551
10.785,3658.166,193.686,-35.454
10.835,3667.806,191.916,-35.355
10.885,3677.358,190.15,-35.259
10.935,3686.821,188.39,-35.167
10.985,3696.197,186.633,-35.084
11.035,3705.484,184.881,-35.012
11.085,3714.685,183.132,-34.951
11.135,3723.798,181.386,-34.903
11.185,3732.823,179.642,-34.867
11.235,3741.762,177.899,-34.842
11.285,3750.613,176.157,-34.825
11.335,3759.378,174.416,-34.816
11.385,3768.055,172.676,-34.811
11.435,3776.645,170.935,-34.807
11.485,3785.148,169.195,-34.802
11.535,3793.565,167.455,-34.794
11.585,3801.894,165.716,-34.781
11.635,3810.136,163.977,-34.761
11.685,3818.292,162.24,-34.733
11.735,3826.36,160.504,-34.697
11.785,3834.342,158.77,-34.652
11.835,3842.237,157.039,-34.599
11.885,3850.046,155.31,-34.539
11.935,3857.768,153.585,-34.475
11.985,3865.405,151.863,-34.406
12.035,3872.955,150.144,-34.336
12.085,3880.419,148.429,-34.267
12.135,3887.798,146.718,-34.198
12.185,3895.091,145.009,-34.134
12.235,3902.299,143.304,-34.074
12.285,3909.421,141.602,-34.02
12.335,3916.459,139.902,-33.973
12.385,3923.412,138.204,-33.933
12.435,3930.279,136.509,-33.9
12.485,3937.062,134.814,-33.874
12.535,3943.761,133.121,-33.853
12.585,3950.375,131.429,-33.838
12.635,3956.904,129.737,-33.827
12.685,3963.348,128.046,-33.818
12.735,3969.708,126.355,-33.81
12.785,3975.984,124.665,-33.802
12.835,3982.175,122.975,-33.793
12.885,3988.281,121.286,-33.782
12.935,3994.303,119.597,-33.768
12.985,4000.241,117.909,-33.75
13.035,4006.094,116.222,-33.727
13.085,4011.863,114.536,-33.7
13.135,4017.548,112.852,-33.669
13.185,4023.149,111.17,-33.633
13.235,4028.665,109.489,-33.593
13.285,4034.097,107.81,-33.549
13.335,4039.446,106.134,-33.504
13.385,4044.711,104.46,-33.456
13.435,4049.892,102.789,-33.408
13.485,4054.99,101.119,-33.36
13.535,4060.004,99.453,-33.312
13.585,4064.935,97.788,-33.266
13.635,4069.783,96.126,-33.223
13.685,4074.548,94.466,-33.183
13.735,4079.23,92.808,-33.146
13.785,4083.828,91.151,-33.113
13.835,4088.345,89.496,-33.084
13.885,4092.778,87.843,-33.058
13.935,4097.129,86.19,-33.037
13.985,4101.397,84.539,-33.019
14.035,4105.583,82.888,-33.004
14.085,4109.686,81.238,-32.992
14.135,4113.707,79.589,-32.982
14.185,4117.645,77.94,-32.973
14.235,4121.501,76.292,-32.965
14.285,4125.274,74.644,-32.958
14.335,4128.965,72.996,-32.949
14.385,4132.574,71.349,-32.94
14.435,4136.1,69.702,-32.929
14.485,4139.544,68.056,-32.917
14.535,4142.906,66.41,-32.902
14.585,4146.185,64.766,-32.885
14.635,4149.382,63.122,-32.866
14.685,4152.497,61.479,-32.845
14.735,4155.53,59.837,-32.822
14.785,4158.481,58.197,-32.796
14.835,4161.35,56.558,-32.769
14.885,4164.137,54.92,-32.741
14.935,4166.842,53.284,-32.71
14.985,4169.465,51.649,-32.679
15.035,4172.007,50.016,-32.647
15.085,4174.467,48.384,-32.615
15.135,4176.845,46.754,-32.584
15.185,4179.142,45.126,-32.552
15.235,4181.358,43.499,-32.522
15.285,4183.492,41.874,-32.493
15.335,4185.545,40.25,-32.465
15.385,4187.517,38.627,-32.44
15.435,4189.408,37.006,-32.416
15.485,4191.218,35.385,-32.395
15.535,4192.947,33.766,-32.376
15.585,4194.594,32.148,-32.359
15.635,4196.161,30.53,-32.344
15.685,4197.647,28.913,-32.331
15.735,4199.053,27.297,-32.32
15.785,4200.377,25.681,-32.31
15.835,4201.621,24.066,-32.301
15.885,4202.784,22.451,-32.294
15.935,4203.866,20.837,-32.287
15.985,4204.867,19.223,-32.28
16.035,4205.788,17.609,-32.273
16.085,4206.628,15.995,-32.266
16.135,4207.388,14.382,-32.259
16.185,4208.067,12.769,-32.25
16.235,4208.665,11.157,-32.241
16.285,4209.182,9.545,-32.231
16.335,4209.619,7.934,-32.221
16.385,4209.976,6.323,-32.21
16.435,4210.252,4.713,-32.198
16.485,4210.447,3.104,-32.185
16.535,4210.562,1.495,-32.17
# Event APOGEE occurred at t=16.585 seconds
16.585,4210.597,-0.113,-32.153
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=16.586 seconds
# Event SIM_WARN occurred at t=16.635 seconds: Recovery device deployment at high speed (149 ft/s):  "SkyAngle Classic 20 [Cd 0.8 (3 oz) 20.8 in^3]"
16.635,4210.551,-1.721,-31.659
16.691,4210.404,-3.501,-31.183
16.749,4210.15,-5.301,-30.717
16.808,4209.782,-7.121,-30.26
16.869,4209.292,-8.963,-29.812
16.932,4208.674,-10.825,-29.373
16.996,4207.919,-12.709,-28.943
17.062,4207.02,-14.615,-28.521
17.129,4205.967,-16.543,-28.107
17.199,4204.751,-18.493,-27.701
17.27,4203.364,-20.466,-27.302
17.343,4201.796,-22.461,-26.911
17.418,4200.036,-24.479,-26.526
17.495,4198.074,-26.519,-26.148
17.574,4195.9,-28.583,-25.775
17.655,4193.503,-30.668,-25.408
17.738,4190.871,-32.777,-25.045
17.823,4187.992,-34.907,-24.686
17.91,4184.855,-37.059,-24.331
17.999,4181.447,-39.233,-23.978
18.091,4177.756,-41.428,-23.628
18.184,4173.769,-43.642,-23.279
18.28,4169.472,-45.877,-22.93
18.379,4164.853,-48.13,-22.581
18.479,4159.896,-50.402,-22.23
18.582,4154.589,-52.691,-21.878
18.688,4148.916,-54.996,-21.522
18.795,4142.862,-57.316,-21.163
18.906,4136.41,-59.651,-20.799
19.019,4129.546,-61.998,-20.429
19.134,4122.25,-64.357,-20.053
19.252,4114.506,-66.727,-19.669
19.373,4106.293,-69.105,-19.277
19.497,4097.591,-71.491,-18.876
19.624,4088.379,-73.884,-18.466
19.753,4078.633,-76.281,-18.045
19.887,4068.327,-78.681,-17.613
20.023,4057.434,-81.083,-17.17
20.163,4045.923,-83.485,-16.715
20.306,4033.763,-85.885,-16.247
20.454,4020.917,-88.281,-15.766
20.606,4007.344,-90.673,-15.272
20.762,3993.002,-93.057,-14.765
20.923,3977.84,-95.433,-14.245
21.089,3961.803,-97.797,-13.712
21.26,3944.831,-100.149,-13.166
21.437,3926.854,-102.485,-12.606
21.621,3907.792,-104.803,-12.034
21.812,3887.557,-107.102,-11.451
22.011,3866.047,-109.377,-10.855
22.218,3843.144,-111.627,-10.25
22.435,3818.713,-113.848,-9.634
22.662,3792.595,-116.037,-9.01
22.901,3764.607,-118.19,-8.378
23.153,3734.53,-120.303,-7.74
23.421,3702.104,-122.372,-7.098
23.705,3667.015,-124.391,-6.454
24.009,3628.882,-126.353,-5.809
24.336,3587.236,-128.254,-5.167
24.691,3541.487,-130.084,-4.531
25.077,3490.888,-131.835,-3.903
25.502,3434.464,-133.495,-3.289
25.976,3370.92,-135.051,-2.694
26.476,3303.057,-136.398,-2.159
26.976,3234.588,-137.477,-1.71
27.476,3165.636,-138.332,-1.336
27.976,3096.303,-139,-1.028
28.476,3026.674,-139.514,-0.775
28.976,2956.82,-139.902,-0.569
29.476,2886.798,-140.186,-0.4
29.976,2816.655,-140.386,-0.264
30.476,2746.429,-140.518,-0.153
30.976,2676.15,-140.595,-0.064
31.476,2605.844,-140.627,0.007
31.976,2535.532,-140.624,0.065
32.476,2465.228,-140.591,0.111
32.976,2394.946,-140.536,0.147
33.476,2324.696,-140.462,0.176
33.976,2254.487,-140.374,0.199
34.476,2184.325,-140.274,0.218
34.976,2114.215,-140.166,0.232
35.476,2044.161,-140.05,0.243
35.976,1974.167,-139.928,0.251
36.476,1904.234,-139.803,0.258
36.976,1834.365,-139.674,0.263
37.476,1764.561,-139.542,0.266
37.976,1694.823,-139.409,0.269
38.476,1625.152,-139.275,0.272
38.976,1555.549,-139.139,0.277
39.476,1486.014,-139,0.28
39.976,1416.549,-138.86,0.282
40.476,1347.154,-138.719,0.284
40.976,1277.83,-138.577,0.285
41.476,1208.577,-138.435,0.285
41.976,1139.395,-138.292,0.285
42.476,1070.284,-138.15,0.285
42.976,1001.245,-138.008,0.284
43.476,932.277,-137.866,0.283
43.976,863.379,-137.724,0.282
44.476,794.553,-137.583,0.281
# Event SIM_WARN occurred at t=44.477 seconds: Recovery device deployment at high speed (141 ft/s):  "Iris Ultra Parachute [(36.0 oz) 199.9 in^3]"
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=44.477 seconds
44.477,794.415,-137.583,2333.199
44.478,794.224,-134.302,2221.749
44.479,794.028,-131.021,2112.988
44.481,793.827,-127.74,2006.915
44.483,793.621,-124.459,1903.533
44.484,793.409,-121.178,1802.839
44.486,793.192,-117.898,1704.834
44.488,792.968,-114.617,1609.519
44.49,792.738,-111.336,1516.893
44.492,792.501,-108.055,1426.956
44.495,792.256,-104.774,1339.708
44.497,792.003,-101.493,1255.15
44.5,791.742,-98.213,1173.281
44.502,791.472,-94.932,1094.101
